goos: windows
goarch: amd64
pkg: github.com/Madhavkannank/fafa/tests/port
cpu: Intel(R) Core(TM) 5 210H
BenchmarkAdd-12                  	18246288	        60.15 ns/op	      48 B/op	       2 allocs/op
BenchmarkAdd-12                  	21400788	        54.86 ns/op	      48 B/op	       2 allocs/op
BenchmarkAdd-12                  	21714072	        54.62 ns/op	      48 B/op	       2 allocs/op
BenchmarkAdd-12                  	20250259	        56.05 ns/op	      48 B/op	       2 allocs/op
BenchmarkAdd-12                  	21722798	        54.42 ns/op	      48 B/op	       2 allocs/op
BenchmarkAdd-12                  	22318314	        55.45 ns/op	      48 B/op	       2 allocs/op
BenchmarkAdd-12                  	21005497	        56.39 ns/op	      48 B/op	       2 allocs/op
BenchmarkAdd-12                  	22345993	        54.05 ns/op	      48 B/op	       2 allocs/op
BenchmarkAdd-12                  	22577610	        54.76 ns/op	      48 B/op	       2 allocs/op
BenchmarkAdd-12                  	21770208	        55.75 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubtract-12             	25420995	        46.16 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubtract-12             	28437703	        47.56 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubtract-12             	24929832	        46.69 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubtract-12             	24563888	        45.78 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubtract-12             	24453314	        46.80 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubtract-12             	25101451	        46.19 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubtract-12             	23711852	        46.52 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubtract-12             	26621882	        46.55 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubtract-12             	25180353	        45.51 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubtract-12             	21699230	        46.36 ns/op	      48 B/op	       2 allocs/op
BenchmarkBitwiseNot-12           	28940487	        36.33 ns/op	      48 B/op	       2 allocs/op
BenchmarkBitwiseNot-12           	33556202	        36.60 ns/op	      48 B/op	       2 allocs/op
BenchmarkBitwiseNot-12           	34672861	        36.53 ns/op	      48 B/op	       2 allocs/op
BenchmarkBitwiseNot-12           	34767895	        36.52 ns/op	      48 B/op	       2 allocs/op
BenchmarkBitwiseNot-12           	30637802	        36.66 ns/op	      48 B/op	       2 allocs/op
BenchmarkBitwiseNot-12           	33273348	        36.69 ns/op	      48 B/op	       2 allocs/op
BenchmarkBitwiseNot-12           	30667320	        36.78 ns/op	      48 B/op	       2 allocs/op
BenchmarkBitwiseNot-12           	36015378	        36.57 ns/op	      48 B/op	       2 allocs/op
BenchmarkBitwiseNot-12           	33710042	        36.64 ns/op	      48 B/op	       2 allocs/op
BenchmarkBitwiseNot-12           	32775422	        37.05 ns/op	      48 B/op	       2 allocs/op
BenchmarkBitwiseAnd-12           	17733010	        75.51 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseAnd-12           	15523892	        73.73 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseAnd-12           	15494966	        75.65 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseAnd-12           	16960579	        74.92 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseAnd-12           	15139968	        74.63 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseAnd-12           	16995072	        74.91 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseAnd-12           	16415284	        74.46 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseAnd-12           	15919594	        75.15 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseAnd-12           	14917172	        74.73 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseAnd-12           	15581784	        75.33 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseOr-12            	14486367	        85.20 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseOr-12            	14417271	        84.47 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseOr-12            	14311406	        83.87 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseOr-12            	14181730	        84.56 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseOr-12            	14928956	        84.43 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseOr-12            	14399072	        83.18 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseOr-12            	14848765	        84.80 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseOr-12            	14538880	        85.42 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseOr-12            	14388902	        84.18 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseOr-12            	13552659	        84.07 ns/op	      96 B/op	       4 allocs/op
BenchmarkBitwiseXor-12           	 9990225	       114.2 ns/op	     112 B/op	       5 allocs/op
BenchmarkBitwiseXor-12           	10572723	       113.8 ns/op	     112 B/op	       5 allocs/op
BenchmarkBitwiseXor-12           	 9844053	       113.4 ns/op	     112 B/op	       5 allocs/op
BenchmarkBitwiseXor-12           	 9908707	       113.8 ns/op	     112 B/op	       5 allocs/op
BenchmarkBitwiseXor-12           	10494583	       116.0 ns/op	     112 B/op	       5 allocs/op
BenchmarkBitwiseXor-12           	10410684	       112.5 ns/op	     112 B/op	       5 allocs/op
BenchmarkBitwiseXor-12           	 9893650	       115.0 ns/op	     112 B/op	       5 allocs/op
BenchmarkBitwiseXor-12           	 9967729	       116.4 ns/op	     112 B/op	       5 allocs/op
BenchmarkBitwiseXor-12           	10675938	       114.7 ns/op	     112 B/op	       5 allocs/op
BenchmarkBitwiseXor-12           	10684216	       115.2 ns/op	     112 B/op	       5 allocs/op
BenchmarkComparePure-12          	446563137	         2.961 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparePure-12          	430843512	         2.735 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparePure-12          	441372490	         2.703 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparePure-12          	442583299	         2.819 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparePure-12          	440139068	         2.709 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparePure-12          	437491728	         2.727 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparePure-12          	445341229	         2.707 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparePure-12          	427810994	         2.706 ns/op	       0 B/op	       0 allocs/op
