Operation,Run,p50_ns,p90_ns,p95_ns,p99_ns
Compare,1,0.0,0.0,35.97,256.19
Compare,2,0.0,0.0,0.0,200.71
Compare,3,0.0,0.0,0.0,233.93
Compare,4,0.0,0.0,0.0,214.36
Compare,5,0.0,0.0,0.0,272.04
Compare,6,0.0,0.0,0.0,256.1
Compare,7,0.0,0.0,0.0,262.24
Compare,8,0.0,0.0,0.0,282.67
Compare,9,0.0,0.0,0.0,286.13
Compare,10,0.0,0.0,0.0,261.68
Add,1,0.0,202.44,403.41,1146.12
Add,2,0.0,0.0,401.71,1268.86
Add,3,0.0,108.6,402.07,1186.7
Add,4,0.0,104.24,400.94,1198.84
Add,5,0.0,105.96,301.72,1230.56
Add,6,0.0,110.8,358.37,1015.85
Add,7,0.0,121.03,403.62,1215.45
Add,8,0.0,75.17,347.12,1246.45
Add,9,0.0,86.45,401.26,1209.55
Add,10,0.0,98.2,401.8,1168.57
Multiply,1,0.0,200.24,220.54,1010.68
Multiply,2,0.0,0.0,403.28,1198.8
Multiply,3,0.0,106.22,400.7,1028.85
Multiply,4,0.0,122.22,349.03,1078.46
Multiply,5,0.0,76.43,400.96,1127.27
Multiply,6,0.0,77.38,400.96,1222.49
Multiply,7,0.0,76.81,402.11,1293.36
Multiply,8,0.0,74.06,278.41,1305.4
Multiply,9,0.0,66.16,404.86,1218.01
Multiply,10,0.0,0.0,400.82,1239.02
Divide,1,0.0,750.99,2234.99,6590.19
Divide,2,0.0,386.62,2138.12,6552.22
Divide,3,0.0,652.86,2171.7,6184.84
Divide,4,0.0,629.41,2118.16,6273.83
Divide,5,0.0,709.03,2197.82,6002.51
Divide,6,0.0,777.97,2222.66,6082.07
Divide,7,0.0,1005.04,2435.88,6431.08
Divide,8,0.0,527.13,2831.92,6689.84
Divide,9,0.0,973.91,2086.05,5183.75
Divide,10,0.0,584.21,2410.52,6421.03
"ToString (Base 10, 3 Limbs)",1,0.0,6699.08,10212.32,13880.77
"ToString (Base 10, 3 Limbs)",2,0.0,6694.9,10342.23,15840.35
"ToString (Base 10, 3 Limbs)",3,0.0,6361.64,10138.3,13938.08
"ToString (Base 10, 3 Limbs)",4,0.0,6707.92,10285.64,16208.78
"ToString (Base 10, 3 Limbs)",5,0.0,6734.88,10330.58,13999.75
"ToString (Base 10, 3 Limbs)",6,0.0,7096.08,11025.76,14039.88
"ToString (Base 10, 3 Limbs)",7,0.0,7038.42,11106.77,14057.01
"ToString (Base 10, 3 Limbs)",8,0.0,7692.62,11463.86,14102.08
"ToString (Base 10, 3 Limbs)",9,0.0,6755.02,10697.89,13915.61
"ToString (Base 10, 3 Limbs)",10,0.0,6376.44,10245.17,14017.47
