Run,BaseHeapAllocBytes,WorkloadHeapAllocBytes,WorkloadHeapInuseBytes,WorkloadSysBytes,PostGCHeapAllocBytes,NumGC
1,153776.0,973064.0,1220608.0,16207872.0,159584.0,41.0
2,153776.0,973064.0,1220608.0,16207872.0,159320.0,41.0
3,156528.0,973064.0,1220608.0,16207872.0,159320.0,41.0
4,153776.0,973064.0,1220608.0,16207872.0,159704.0,41.0
5,153776.0,973064.0,1220608.0,16207872.0,162264.0,41.0
6,153776.0,973064.0,1220608.0,16207872.0,162264.0,41.0
7,153776.0,973064.0,1220608.0,16207872.0,159512.0,41.0
8,153776.0,973064.0,1220608.0,16207872.0,162376.0,41.0
9,153776.0,973064.0,1220608.0,16207872.0,159512.0,41.0
10,153776.0,973064.0,1220608.0,16207872.0,159416.0,41.0
