Operation,Run,OpsPerSec,MopsPerSec
Compare,1,132904318.19,132.90431819
Compare,2,120699768.98,120.69976898
Compare,3,106428380.62,106.42838062
Compare,4,118857164.59,118.85716459000001
Compare,5,127847156.17,127.84715617
Compare,6,114959970.94,114.95997093999999
Compare,7,108879208.32,108.87920831999999
Compare,8,103826095.44,103.82609544
Compare,9,112594734.39,112.59473439
Compare,10,107542377.07,107.54237706999999
Add,1,18455223.94,18.45522394
Add,2,18908159.67,18.908159670000003
Add,3,17022337.05,17.02233705
Add,4,18881070.03,18.88107003
Add,5,18950053.34,18.95005334
Add,6,16319150.36,16.31915036
Add,7,20892354.23,20.89235423
Add,8,17586486.82,17.58648682
Add,9,19447980.74,19.44798074
Add,10,16689570.32,16.68957032
Multiply,1,17147340.93,17.14734093
Multiply,2,17456771.8,17.456771800000002
Multiply,3,17429673.88,17.42967388
Multiply,4,18302555.15,18.30255515
Multiply,5,15368428.88,15.368428880000002
Multiply,6,15641335.42,15.64133542
Multiply,7,17236719.45,17.23671945
Multiply,8,17546199.14,17.546199140000002
Multiply,9,16169748.73,16.169748730000002
Multiply,10,16931893.49,16.931893489999997
Divide,1,2716028.86,2.7160288599999998
Divide,2,3097290.86,3.0972908599999998
Divide,3,2793096.36,2.79309636
Divide,4,2982698.26,2.98269826
Divide,5,2942734.39,2.94273439
Divide,6,3071237.98,3.07123798
Divide,7,2984086.76,2.98408676
Divide,8,2441438.44,2.4414384399999998
Divide,9,3015636.98,3.01563698
Divide,10,3003457.58,3.00345758
"ToString (Base 10, 3 Limbs)",1,533826.56,0.5338265600000001
"ToString (Base 10, 3 Limbs)",2,544405.58,0.54440558
"ToString (Base 10, 3 Limbs)",3,546950.03,0.54695003
"ToString (Base 10, 3 Limbs)",4,539403.19,0.5394031899999999
"ToString (Base 10, 3 Limbs)",5,513971.81,0.51397181
"ToString (Base 10, 3 Limbs)",6,528787.34,0.5287873399999999
"ToString (Base 10, 3 Limbs)",7,543652.58,0.5436525799999999
"ToString (Base 10, 3 Limbs)",8,545398.95,0.5453989499999999
"ToString (Base 10, 3 Limbs)",9,530481.07,0.53048107
"ToString (Base 10, 3 Limbs)",10,524127.31,0.52412731
